state,count,mean_return,mean_volatility,mean_volume_change,prob_next_week_up,mean_dxy_log_return,mean_dgs10_change
0,152,0.0026436995781728527,0.0890509432075616,-0.0017846537059043727,0.506578947368421,-0.0005111114280193407,-0.01914473684210525
1,53,0.0003808556396604925,0.019299494955242077,-0.04463628439205395,0.5283018867924528,-0.0018541540042937735,0.021320754716981114
2,48,0.011224425506211668,0.16137190668610887,-0.009043916893434497,0.6041666666666666,0.0005990379747702665,-0.007083333333333335
3,167,0.007975148077187745,0.0495974367073358,0.02903446642699226,0.5149700598802395,0.00141753473684422,0.02209580838323353
