feature_set,n_features,n_states,best_seed,train_loglik,test_loglik,aic_train,bic_train,test_accuracy,test_balanced_accuracy
A_price_only,3,3,44,-1238.1837942387572,-273.2595481761405,2528.3675884775143,2627.9965328868857,0.47674418604651164,0.47916666666666663
A_price_only,3,4,47,-1194.7810648754212,-274.3070184214735,2467.5621297508424,2617.0055463648996,0.5697674418604651,0.5625
B_price_sentiment,4,3,51,-1669.3324397530882,-420.80399729609616,3402.6648795061765,3525.285118779249,0.5232558139534884,0.5317982456140351
B_price_sentiment,4,4,43,-1591.9906437974007,-406.67295542635935,3277.9812875948014,3458.0797640271267,0.5930232558139535,0.5696271929824561
C_price_sentiment_macro,6,3,44,-2610.2440390952424,-662.1097771973524,5308.488078190485,5477.09090719096,0.5232558139534884,0.5290570175438597
C_price_sentiment_macro,6,4,42,-2527.411890541783,-651.0586612847436,5180.823781083566,5422.232377152428,0.5348837209302325,0.5038377192982456
